Lyrics
vaakkin ullil pranaamaai nee enna vaakkin ullil pulariaai
vaana neelima vaari ente kannil pethu aaroraal aadhamaai
innithaa sneha soorane pulkodikku poovaai maaran aashathan pon
veil thannu nee novu kaalamoru sugha maraviil aliukaaai
jeeva shaakha theru there adimudi malaranie ninte eenam
onnu maatram thedi vanu njaan manjin kai viralaal
kavilatho nee thahuki chandham koodi varum mahavillai maariival
oru naru thaamaraaai ithalaniana paathi mugham oru mohiaalimanam
kanavehuthia neer nadhiaai nee engaanengo kannin kanne thedi
njaan ennuire penkilie ennakame thenn mahae nee enna
vaakkin ullil pranaamaai nee oralilen hridaamitha neela meghamaai
alaukaaai
enithonnum arinjatheille punnara poonkuile nanaa nanaaa naaaaaa eneno
neneno neneno neneno enundodi ambili chantham enundodi thamara
chantham enundodi maarivil chantham enundodi maamaha chantham kammalitto
pottu thotto enithonnum arinjatheille punnara poonkuile kaavalam kili
kaathilu chollanu kannilithiri kanmashi vendennu kumbilil poomanavumaaethanu kaattu
moolanu karivala vendennu enthinaavo ethinaavo enithonnum arinjatheille panjaara
poonkuile enundodi enundodi ambili chantham enundodi thamara chantham
kochari mullathakkam paraanu kaarmudichutti poovonnu kettannu poothorungi ilanjium
chollanu melu vaasanathailam purattaannu enthinaavo ethinaavo neeee marimaaam
ellamarinjttum mindathe nikkaanalle enundodi ambili chantham enundodi thamara
chantham enundodi maarivil chantham enundodi maamaha chantham kammalitto
mmm mmm enithonnum arinjatheille punnara poonkuile
pooram kaanan nium porente pennee chelem chaanthum thannillalo
ponne ponillanne aah pooram kaanan nium porente pennee
chelem chaanthum thannillalo ponne ponillanne neeillathengane njan penne
povaa poorathinu vannal chaandum valem tharaam chelothoru chela
ponne ni thannidanam ennaleenum poorathinu vanneedam eele elamaleelamalee
eelamaleeloo pooram kaanan nium porente pennee chelem chaanthum
thannillalo ponne ponillanne kaiidan karivala illaa nee onnathu
konde thaa kathilidan kammal illa nee onnathu konde
thaa kannehuthan kari mashi illaa nee onnathu konde
thaa ithonnumillanjaal poorathinu ponillaa pooram kaanan nium ponundo
di edi neram poe chela veno enne veno
penne novunnundee aaahaa eenidaan chelaundo nee onnathu konde
thaa kail kaalanaundo nee onnathu konde thaa chorathoru
puraundo nee onnathu konde thaa eenonnum vendaae poorathinu
ponillaa kodietam kandathallediee erangana kodi kaanan povandee penne
kail irikana njaarum vilaum thevaru thannoru nidhiaane peruvathu
kadavile pooram podi paaran pone thevare kandu vanangi
njaru nadunoru nerathu maanathengo velli minukkam nenjin thaalam
maarille thevare kandu vanageettalla pennaale pathaaam niraum nellu
kothu thudangiathu pooram kaanan nium porente pennee eele
elamaleelamalee eelamaleeloo pooram kaanannjanum poramen ponne edi neram
poee
ethu mahailum aalum oru thirinaalam raavu pakalorupole viriana
tharam novukaripuka oothi eri virakai meenaveilodu koode vahi
palatheri padam ehuthia jeevakathaude aedil oru lipiai aere
vijanatha choolumirulilum aashaathu kalaathe chiri thooki mukila ni
niravanin kara thedi ethu mahailum aalum oru thirinaalam
raavu pakalorupole viriana tharam hridaamulaum murivumohial moodi samaamanipol
idail nilkathe nooru kadamakal aeru chumadukalai neelamihikalil moha
mashianiathe uiree ni valarana kanavolam uarana ethu mahailum
aalum oru thirinaalam raavu pakalorupole viriana tharam padam
ehuthia jeevakathaude aedil oru lipiai aere vijanatha choolumirulilum
aashaathu kalaathe chiri thooki mukila ni niravanin kara
thedi
vaanamakalunnuvo koorirulu moodio vaarmukilu poleee mohamaliunnuvo veenohium ekaantha
mookaabhilaasham paavamoru raappaadi polinnu thengi veendumuaraan paadialaaan aaru
chirakekuvaan veendumuaraan paadialaaan aaru chirakekuvaan vaanamakalunnuvo koorirulu moodio
vaarmukilu poleee mohamaliunnuvo arikil thonnaloru maaa akaleakale doore
aakaasha lokam koorampu pole paaunna moham veehunnu thaahe
mahappaatta pol ohukiohuki maraum poonthennale nee veruthe inium
orkkaan thooval tharaamo aa smera naalam maraunna neram
paahman chiraathaa maarunnu jeevan vaanamakalunnuvo koorirulu moodio vaarmukilu
poleee mohamaliunnuvo veenohium ekaantha mookaabhilaasham paavamoru raappaadi polinnu
thengi veendumuaraan paadialaaan aaru chirakekuvaan vaanamakalunnuvo koorirulu moodio
vaarmukilu poleee mohamaliunnuvo umumum
kadukumanikkoru kannundu kanninakathoru karadundu kadalundeennoru changaaee kaaa varuthu
kahinjittu kudamoru kallu kudichittu karimeen mullu kudichittu kalaham
paraan kavalailinnoru kannada vaangi varunnundu kallippaala punchiri poloru
kanmashiaale kanaanaa koombia konthala mundel murukia kalkkanda kadha
kelkkaanaa kandal cheril kaalukal chithari kannil kaaalthirakalumaa kaalichaaa
kadavukal thaandi kondu pidichu varunnundu kadhaude kadamoru kachaankaattil
kudaude keehil karuthaan paraunnavalude karalil karivalaaadana kadalodiunnundu kavilil
kavaruthirunnundu kavilil kavaruthirunnundu
neeillathe jeevitham venda penne venda marupakuthi ithennum neealle
odippokum kattile podimaha mathiri enne nee thanichakkidalle ingane
njanum neeum chernal
paalum thenum pole madhurithamai ilakiohukum oru puhaai niraumivide
neeillathe jeevitham venda ponne venda marupakuthi ithennum neealle
neeente ullil pande koodunu koottiathalle pokaan ithengu pokan
oru nihalai mahail veilil purakil alaum ninne kandal
enthinee kallakkopam ponne pidi vahuthana kanni poomeene ninnodu
cherukaallaathillonnum ashichathilla doore orolam pole akalaruthe niraum irulil
maraaruthe aruthe neeillathe enthinee ravum pakalum penne marupakuthi
ithennum neealle odippokum kattile podimaha mathiri enne nee
thanichakkidalle ingane njanum neeum chernal paalum thenum pole
madhurithamai ilakiohukum oru puhaai niraumivide neeillathe jeevitham venda
penne venda marupakuthi ithennum neealle
